BehaviorSpace results (NetLogo 3D 5.0.4),,,,,,,,,,,,,
/home/ouit-modelling4all/kkahn/models/kepler-36-experiment-300.nlogo3d,,,,,,,,,,,,,
section 2 of 3 of the kepler-36 experiments,,,,,,,,,,,,,
09/04/2013 09:49:34:747 +0100,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,
[run number],c-mean-anomaly,b-mass,c-semi-major-axis,b-semi-major-axis,b-mean-anomaly,c-logitude,b-logitude,c-mass,[step],[my-orbits-length] of the-kepler-36-c,[my-orbits-length] of the-kepler-36-b,orbits-ok,years-ok
1,300,2.49E+25,18890000,17560000,300,5,240,4.52E+25,121180,[1415100 1415040 1415280 1415460 1415100 194820],[1256460 1256400 1256040 1255860 1257540 96720],"""orbits-ok""","""Kepler-36 b"""
3,300,2.49E+25,18890000,17560000,300,5,240,5.16E+25,121185,[1415160 1415100 1415340 1415520 1415160 194820],[1255680 1255500 1255140 1254960 1256880 96720],"""orbits-ok""","""Kepler-36 b"""
6,300,2.49E+25,18890000,17560000,300,5,244,5.16E+25,121185,[1415160 1415100 1415340 1415520 1415160 194820],[1255680 1255500 1255140 1254960 1256880 96720],"""orbits-ok""","""Kepler-36 b"""
2,300,2.49E+25,18890000,17560000,300,5,240,4.84E+25,121182,[1415100 1415100 1415280 1415460 1415160 194820],[1256100 1255920 1255620 1255380 1257240 96720],"""orbits-ok""","""Kepler-36 b"""
8,300,2.49E+25,18890000,17560000,300,5,150,4.84E+25,121182,[1415100 1415100 1415280 1415460 1415160 194820],[1256100 1255920 1255620 1255380 1257240 96720],"""orbits-ok""","""Kepler-36 b"""
4,300,2.49E+25,18890000,17560000,300,5,244,4.52E+25,121180,[1415100 1415040 1415280 1415460 1415100 194820],[1256460 1256400 1256040 1255860 1257540 96720],"""orbits-ok""","""Kepler-36 b"""
5,300,2.49E+25,18890000,17560000,300,5,244,4.84E+25,121182,[1415100 1415100 1415280 1415460 1415160 194820],[1256100 1255920 1255620 1255380 1257240 96720],"""orbits-ok""","""Kepler-36 b"""
7,300,2.49E+25,18890000,17560000,300,5,150,4.52E+25,121180,[1415100 1415040 1415280 1415460 1415100 194820],[1256460 1256400 1256040 1255860 1257540 96720],"""orbits-ok""","""Kepler-36 b"""
10,300,2.49E+25,18890000,17560000,300,8,240,4.52E+25,121607,[1418460 1418460 1418700 1418820 1418760 203220],[1257120 1256940 1256700 1256460 1258680 96780],"""orbits-ok""","""Kepler-36 b"""
12,300,2.49E+25,18890000,17560000,300,8,240,5.16E+25,121615,[1418580 1418580 1418760 1418940 1418820 203220],[1256340 1256160 1255800 1255620 1258080 96780],"""orbits-ok""","""Kepler-36 b"""
16,300,2.49E+25,18890000,17560000,300,8,150,4.52E+25,121607,[1418460 1418460 1418700 1418820 1418760 203220],[1257120 1256940 1256700 1256460 1258680 96780],"""orbits-ok""","""Kepler-36 b"""
15,300,2.49E+25,18890000,17560000,300,8,244,5.16E+25,121615,[1418580 1418580 1418760 1418940 1418820 203220],[1256340 1256160 1255800 1255620 1258080 96780],"""orbits-ok""","""Kepler-36 b"""
14,300,2.49E+25,18890000,17560000,300,8,244,4.84E+25,121611,[1418520 1418520 1418700 1418940 1418760 203220],[1256700 1256580 1256220 1256100 1258380 96780],"""orbits-ok""","""Kepler-36 b"""
11,300,2.49E+25,18890000,17560000,300,8,240,4.84E+25,121611,[1418520 1418520 1418700 1418940 1418760 203220],[1256700 1256580 1256220 1256100 1258380 96780],"""orbits-ok""","""Kepler-36 b"""
9,300,2.49E+25,18890000,17560000,300,5,150,5.16E+25,121185,[1415160 1415100 1415340 1415520 1415160 194820],[1255680 1255500 1255140 1254960 1256880 96720],"""orbits-ok""","""Kepler-36 b"""
13,300,2.49E+25,18890000,17560000,300,8,244,4.52E+25,121607,[1418460 1418460 1418700 1418820 1418760 203220],[1257120 1256940 1256700 1256460 1258680 96780],"""orbits-ok""","""Kepler-36 b"""
17,300,2.49E+25,18890000,17560000,300,8,150,4.84E+25,121611,[1418520 1418520 1418700 1418940 1418760 203220],[1256700 1256580 1256220 1256100 1258380 96780],"""orbits-ok""","""Kepler-36 b"""
19,300,2.49E+25,18890000,17560000,300,145,240,4.52E+25,126265,[1333500 1364640 1382220 1382340 1382100 731100],[1222800 1261260 1260960 1261200 1261560 96780],"""orbits-ok""","""Kepler-36 c"""
23,300,2.49E+25,18890000,17560000,300,145,244,4.84E+25,126328,[1337460 1364460 1382220 1382340 1382100 731100],[1220580 1261260 1260900 1261140 1261560 96780],"""orbits-ok""","""Kepler-36 c"""
20,300,2.49E+25,18890000,17560000,300,145,240,4.84E+25,126328,[1337460 1364460 1382220 1382340 1382100 731100],[1220580 1261260 1260900 1261140 1261560 96780],"""orbits-ok""","""Kepler-36 c"""
18,300,2.49E+25,18890000,17560000,300,8,150,5.16E+25,121615,[1418580 1418580 1418760 1418940 1418820 203220],[1256340 1256160 1255800 1255620 1258080 96780],"""orbits-ok""","""Kepler-36 b"""
22,300,2.49E+25,18890000,17560000,300,145,244,4.52E+25,126265,[1333500 1364640 1382220 1382340 1382100 731100],[1222800 1261260 1260960 1261200 1261560 96780],"""orbits-ok""","""Kepler-36 c"""
24,300,2.49E+25,18890000,17560000,300,145,244,5.16E+25,126357,[1339320 1364340 1382220 1382340 1382100 731100],[1218480 1261260 1260840 1261140 1261500 96780],"""orbits-ok""","""Kepler-36 c"""
21,300,2.49E+25,18890000,17560000,300,145,240,5.16E+25,126357,[1339320 1364340 1382220 1382340 1382100 731100],[1218480 1261260 1260840 1261140 1261500 96780],"""orbits-ok""","""Kepler-36 c"""
25,300,2.49E+25,18890000,17560000,300,145,150,4.52E+25,126265,[1333500 1364640 1382220 1382340 1382100 731100],[1222800 1261260 1260960 1261200 1261560 96780],"""orbits-ok""","""Kepler-36 c"""
29,300,2.49E+25,18890000,17560000,150,5,240,4.84E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165500 1165320 1166280 1164660 993720],"""orbits-ok""","""years-ok"""
26,300,2.49E+25,18890000,17560000,300,145,150,4.84E+25,126328,[1337460 1364460 1382220 1382340 1382100 731100],[1220580 1261260 1260900 1261140 1261560 96780],"""orbits-ok""","""Kepler-36 c"""
28,300,2.49E+25,18890000,17560000,150,5,240,4.52E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165620 1165500 1165320 1166160 1164720 993720],"""orbits-ok""","""years-ok"""
27,300,2.49E+25,18890000,17560000,300,145,150,5.16E+25,126357,[1339320 1364340 1382220 1382340 1382100 731100],[1218480 1261260 1260840 1261140 1261500 96780],"""orbits-ok""","""Kepler-36 c"""
31,300,2.49E+25,18890000,17560000,150,5,244,4.52E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165620 1165500 1165320 1166160 1164720 993720],"""orbits-ok""","""years-ok"""
32,300,2.49E+25,18890000,17560000,150,5,244,4.84E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165500 1165320 1166280 1164660 993720],"""orbits-ok""","""years-ok"""
30,300,2.49E+25,18890000,17560000,150,5,240,5.16E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165560 1165320 1166340 1164660 993720],"""orbits-ok""","""years-ok"""
34,300,2.49E+25,18890000,17560000,150,5,150,4.52E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165620 1165500 1165320 1166160 1164720 993720],"""orbits-ok""","""years-ok"""
33,300,2.49E+25,18890000,17560000,150,5,244,5.16E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165560 1165320 1166340 1164660 993720],"""orbits-ok""","""years-ok"""
36,300,2.49E+25,18890000,17560000,150,5,150,5.16E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165560 1165320 1166340 1164660 993720],"""orbits-ok""","""years-ok"""
35,300,2.49E+25,18890000,17560000,150,5,150,4.84E+25,120886,[1411560 1411680 1411800 1411320 1412220 194580],[1165740 1165500 1165320 1166280 1164660 993720],"""orbits-ok""","""years-ok"""
38,300,2.49E+25,18890000,17560000,150,8,240,4.84E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165380 1165140 1166040 1164660 993720],"""orbits-ok""","""years-ok"""
40,300,2.49E+25,18890000,17560000,150,8,244,4.52E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165320 1165140 1165920 1164720 993720],"""orbits-ok""","""years-ok"""
39,300,2.49E+25,18890000,17560000,150,8,240,5.16E+25,121342,[1415400 1415460 1415640 1415040 1415880 203100],[1165560 1165380 1165140 1166100 1164660 993720],"""orbits-ok""","""years-ok"""
37,300,2.49E+25,18890000,17560000,150,8,240,4.52E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165320 1165140 1165920 1164720 993720],"""orbits-ok""","""years-ok"""
41,300,2.49E+25,18890000,17560000,150,8,244,4.84E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165380 1165140 1166040 1164660 993720],"""orbits-ok""","""years-ok"""
42,300,2.49E+25,18890000,17560000,150,8,244,5.16E+25,121342,[1415400 1415460 1415640 1415040 1415880 203100],[1165560 1165380 1165140 1166100 1164660 993720],"""orbits-ok""","""years-ok"""
44,300,2.49E+25,18890000,17560000,150,8,150,4.84E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165380 1165140 1166040 1164660 993720],"""orbits-ok""","""years-ok"""
43,300,2.49E+25,18890000,17560000,150,8,150,4.52E+25,121343,[1415460 1415460 1415580 1415100 1415880 203100],[1165500 1165320 1165140 1165920 1164720 993720],"""orbits-ok""","""years-ok"""
48,300,2.49E+25,18890000,17560000,150,145,240,5.16E+25,127268,[1378980 1381020 1381800 1381560 1381680 731040],[1169820 1164840 1165140 1165380 1165260 993840],"""orbits-ok""","""years-ok"""
45,300,2.49E+25,18890000,17560000,150,8,150,5.16E+25,121342,[1415400 1415460 1415640 1415040 1415880 203100],[1165560 1165380 1165140 1166100 1164660 993720],"""orbits-ok""","""years-ok"""
46,300,2.49E+25,18890000,17560000,150,145,240,4.52E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169280 1164840 1165140 1165320 1165200 993840],"""orbits-ok""","""years-ok"""
47,300,2.49E+25,18890000,17560000,150,145,240,4.84E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169520 1164840 1165140 1165320 1165260 993840],"""orbits-ok""","""years-ok"""
50,300,2.49E+25,18890000,17560000,150,145,244,4.84E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169520 1164840 1165140 1165320 1165260 993840],"""orbits-ok""","""years-ok"""
