BehaviorSpace results (NetLogo 3D 5.0.4),,,,,,,,,,,,,
/home/ouit-modelling4all/kkahn/models/k-62-updating-experiments.nlogo3d,,,,,,,,,,,,,
The Kepler-62 Experiments Mass ,,,,,,,,,,,,,
09/07/2013 16:39:12:541 +0100,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,
The masses of the planets are given in masses of earth,,,,,,,,,,,,,
[run number],d-mass,c-mass,f-mass,b-mass,e-mass,[step],[my-orbits-length] of the-kepler-62-b,[my-orbits-length] of the-kepler-62-c,[my-orbits-length] of the-kepler-62-d,[my-orbits-length] of the-kepler-62-e,[my-orbits-length] of the-kepler-62-f,orbits-ok,years-ok
15,1,0.5,3.5,1,6.4,256888,[493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075860],[1578960 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1579140 1578780 1578780 1578780 1578960 1578960 1578780 1578780 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1578960 1578960 1578780 1578780 1578960 1579140],[10592460 10605060 10611360 10602900],[23119020 23120820],"""orbits-ok""","""years-ok"""
11,1,0.5,3,9,5.7,256817,[494100 493920 493920 494100 493920 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494280],[1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075500 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075500 1075680 1075500 1075500 1075860],[1578060 1578420 1579500 1579140 1578420 1577880 1578600 1579140 1579500 1578240 1578060 1578420 1579140 1579500 1578420 1577880 1578240 1579320 1579320 1578780 1577700 1578420 1578960 1579500 1578600 1578060 1578240 1578960 1579680],[10564920 10622340 10583100 10611720],[23113440 23113620],"""orbits-ok""","""years-ok"""
9,1,0.5,3,5,6.4,256858,[493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075860],[1578600 1578420 1579320 1578960 1578780 1578240 1578780 1578960 1579140 1578600 1578420 1578600 1579140 1579140 1578600 1578420 1578420 1579140 1578960 1578960 1578240 1578600 1578780 1579320 1578780 1578420 1578420 1578960 1579500],[10577340 10614060 10595160 10607940],[23116680 23117760],"""orbits-ok""","""years-ok"""
10,1,0.5,3,9,5,256805,[494100 493920 493920 494100 493920 493920 494100 493920 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494280],[1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075500 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075500 1075680 1075500 1075500 1075860],[1578060 1578420 1579500 1579140 1578420 1577880 1578600 1579140 1579500 1578240 1578060 1578420 1579140 1579500 1578420 1577880 1578240 1579320 1579320 1578780 1577700 1578420 1578960 1579500 1578600 1578060 1578240 1578960 1579680],[10565100 10622340 10583100 10611720],[23112360 23112540],"""orbits-ok""","""years-ok"""
14,1,0.5,3.5,1,5.7,256877,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075860],[1578960 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1579140 1578780 1578780 1578780 1578960 1578960 1578780 1578780 1578600 1579140 1578780 1578960 1578600 1578960 1578780 1578960 1578960 1578780 1578780 1578960 1579140],[10592640 10605060 10611360 10602900],[23118120 23119740],"""orbits-ok""","""years-ok"""
12,1,0.5,3,9,6.4,256828,[494100 493920 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494280],[1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075500 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075500 1075500 1075680 1075500 1075500 1075860],[1578060 1578420 1579500 1579140 1578420 1577880 1578600 1579140 1579500 1578240 1578060 1578420 1579320 1579320 1578420 1577880 1578240 1579320 1579320 1578780 1577700 1578420 1578960 1579500 1578600 1578060 1578240 1578960 1579680],[10564920 10622520 10583100 10611540],[23114160 23114880],"""orbits-ok""","""years-ok"""
16,1,0.5,3.5,2,5,256858,[494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494280],[1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075860],[1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578960 1578960 1578780 1578780 1578780 1578960 1578960 1578600 1578780 1578600 1579140 1578780 1578960 1578600 1578780 1578780 1579140 1578780 1578780 1578780 1578780 1579320],[10588500 10607580 10607580 10604520],[23116680 23117760],"""orbits-ok""","""years-ok"""
