"BehaviorSpace results (NetLogo 3D 5.0.4)"
"/home/ouit-modelling4all/kkahn/models/k-62-updating-experiments.nlogo3d"
"Argument-1"
"09/17/2013 00:04:05:328 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","the-kepler-62-c-argument","the-kepler-62-d-argument","the-kepler-62-f-argument","the-kepler-62-b-argument","the-kepler-62-e-argument","[step]","[my-orbits-length] of the-kepler-62-b","[my-orbits-length] of the-kepler-62-c","[my-orbits-length] of the-kepler-62-d","[my-orbits-length] of the-kepler-62-e","[my-orbits-length] of the-kepler-62-f","(orbits-ok)","(years-ok)"
"4","186","40","105","278","249","256249","[493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075680 1075500 1075680 1075860 1075680 1075500 1075860 1075680 1075500 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1579680 1578960 1579500 1579140 1579500 1579140 1579140 1579860 1579140 1579680 1579140 1579320 1578780 1579500 1579140 1579140 1579140 1579500 1578960 1579320 1579320 1579500 1579140 1579320 1579860 1578780 1579500 1579140 1579500]","[10425600 10650780 10414980 10525140]","[23056560 23068260]","""orbits-ok""","""years-ok"""
"1","186","40","105","199","249","256249","[493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075680 1075500 1075680 1075860 1075680 1075500 1075860 1075680 1075500 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1579680 1578960 1579500 1579140 1579500 1579140 1579140 1579860 1579140 1579680 1579140 1579320 1578780 1579500 1579140 1579140 1579140 1579500 1578960 1579320 1579320 1579500 1579140 1579320 1579860 1578780 1579500 1579140 1579500]","[10425600 10650780 10414980 10525140]","[23056560 23068260]","""orbits-ok""","""years-ok"""
"7","186","40","105","357","249","256249","[493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075680 1075500 1075680 1075860 1075680 1075500 1075860 1075680 1075500 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1579680 1578960 1579500 1579140 1579500 1579140 1579140 1579860 1579140 1579680 1579140 1579320 1578780 1579500 1579140 1579140 1579140 1579500 1578960 1579320 1579320 1579500 1579140 1579320 1579860 1578780 1579500 1579140 1579500]","[10425600 10650780 10414980 10525140]","[23056560 23068260]","""orbits-ok""","""years-ok"""
"6","186","40","105","278","337","256832","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493740 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1580040 1578960 1580220 1579860 1579500 1579320 1579860 1580040 1578960 1580760 1579320 1579500 1579140 1579860 1579320 1579320 1579860 1579680 1578960 1579860 1579680 1579320 1579860 1579860 1579680 1579140 1579860 1579320 1579500]","[11043360 10665360 10764900 10659240]","[23120280 23109480]","""orbits-ok""","""Kepler-62 e"""
"2","186","40","105","199","293","256834","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075500 1075860 1075680 1075680 1075680 1075680 1075500 1075860 1075500 1075680 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075860]","[1579860 1578960 1579500 1579500 1579320 1579140 1579500 1579860 1578780 1580040 1579320 1579320 1578960 1579500 1579320 1578780 1579500 1579500 1578960 1579500 1579500 1579320 1579140 1579680 1579680 1578780 1579860 1579140 1579320]","[10951740 10659600 10678680 10666260]","[23115060 23115060]","""orbits-ok""","""years-ok"""
"10","186","40","240","199","249","257084","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075680 1075500 1075680 1075860 1075680 1075500 1075860 1075680 1075500 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1579500 1578960 1579320 1579140 1579680 1579140 1579320 1579680 1578960 1579680 1579140 1579500 1578960 1579500 1579140 1578960 1578960 1579680 1578780 1579680 1579320 1579320 1579140 1579320 1579680 1578960 1579500 1579140 1579680]","[10664640 10679760 10672200 10621620]","[23143500 23131620]","""orbits-ok""","""years-ok"""
"3","186","40","105","199","337","256832","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493740 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1580040 1578960 1580220 1579860 1579500 1579320 1579860 1580040 1578960 1580760 1579320 1579500 1579140 1579860 1579320 1579320 1579860 1579680 1578960 1579860 1579680 1579320 1579860 1579860 1579680 1579140 1579860 1579320 1579500]","[11043360 10665360 10764900 10659240]","[23120280 23109480]","""orbits-ok""","""Kepler-62 e"""
"14","186","40","240","278","293","257274","[493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075500 1075860 1075680 1075680 1075680 1075680 1075500 1075860 1075500 1075680 1075680 1075680 1075500 1075680 1075500 1075500 1075680 1075860]","[1579860 1578780 1579320 1579500 1579500 1579140 1579500 1580040 1578600 1580040 1579140 1579500 1578960 1579680 1579320 1578780 1579320 1579500 1578960 1579500 1579680 1579320 1579140 1579500 1579680 1578780 1579860 1579320 1579320]","[10732140 10710180 10743480 10598400]","[23150520 23158800]","""orbits-ok""","""years-ok"""
"16","186","40","240","357","249","257084","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075680 1075500 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075500 1075680 1075680 1075680 1075500 1075680 1075860 1075680 1075500 1075860 1075680 1075500 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1579500 1578960 1579320 1579140 1579680 1579140 1579320 1579680 1578960 1579680 1579140 1579500 1578960 1579500 1579140 1578960 1578960 1579680 1578780 1579680 1579320 1579320 1579140 1579320 1579680 1578960 1579500 1579140 1579680]","[10664640 10679760 10672200 10621620]","[23143500 23131620]","""orbits-ok""","""years-ok"""
"15","186","40","240","278","337","256910","[493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494100 493920 493920 493920 493920 493920 493920 493920 494100 493920 493920 493920 493920 494100 493920 493920 494280]","[1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075680 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075500 1075680 1075680 1075500 1075680 1075680 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075860 1075500 1075680 1075680 1075500 1075680 1075680 1075500 1075500 1075680 1075860]","[1580040 1578780 1580040 1579860 1579500 1579500 1579860 1580040 1578960 1580580 1579320 1579680 1579140 1580040 1579320 1579140 1579860 1579500 1579140 1579860 1579860 1579320 1579680 1579860 1579680 1578960 1580220 1579320 1579500]","[10500840 10612620 10542060 10505700]","[23117040 23126760]","""orbits-ok""","""years-ok"""
